date_day,platform,channel,metric,value
2025-02-15,direct,direct,last_click_sessions,"1,072"
2025-02-15,direct,direct,last_click_qs,103
2025-02-15,direct,direct,last_click_cp,21
2025-02-15,direct,direct,last_click_op,19
2025-02-15,google,search_paid,last_click_sessions,"3,549"
2025-02-15,google,search_paid,last_click_qs,779
2025-02-15,google,search_paid,last_click_cp,165
2025-02-15,google,search_paid,last_click_op,126
2025-02-15,google,social_organic,last_click_sessions,11
2025-02-15,google,social_organic,last_click_qs,1
2025-02-15,google,social_organic,last_click_cp,0
2025-02-15,google,social_organic,last_click_op,0
2025-02-15,meta,meta_mof,last_click_sessions,"3,795"
2025-02-15,meta,meta_mof,last_click_qs,918
2025-02-15,meta,meta_mof,last_click_cp,43
2025-02-15,meta,meta_mof,last_click_op,32
2025-02-15,organic,search_organic,last_click_sessions,"2,105"
2025-02-15,organic,search_organic,last_click_qs,64
2025-02-15,organic,search_organic,last_click_cp,15
2025-02-15,organic,search_organic,last_click_op,14
2025-02-15,organic,social_organic,last_click_sessions,379
2025-02-15,organic,social_organic,last_click_qs,99
2025-02-15,organic,social_organic,last_click_cp,9
2025-02-15,organic,social_organic,last_click_op,6
2025-02-15,other,other,last_click_sessions,192
2025-02-15,other,other,last_click_qs,14
2025-02-15,other,other,last_click_cp,2
2025-02-15,other,other,last_click_op,2
2025-02-16,ai_tools,ai_tools,last_click_sessions,2
2025-02-16,ai_tools,ai_tools,last_click_qs,0
2025-02-16,ai_tools,ai_tools,last_click_cp,0
2025-02-16,ai_tools,ai_tools,last_click_op,0
2025-02-16,crm,crm_email,last_click_sessions,"1,017"
2025-02-16,crm,crm_email,last_click_qs,6
2025-02-16,crm,crm_email,last_click_cp,3
2025-02-16,crm,crm_email,last_click_op,2
2025-02-16,crm,crm_sms,last_click_sessions,600
2025-02-16,crm,crm_sms,last_click_qs,1
2025-02-16,crm,crm_sms,last_click_cp,0
2025-02-16,crm,crm_sms,last_click_op,0
2025-02-16,direct,direct,last_click_sessions,"1,224"
2025-02-16,direct,direct,last_click_qs,147
2025-02-16,direct,direct,last_click_cp,33
2025-02-16,direct,direct,last_click_op,28
2025-02-16,google,search_paid,last_click_sessions,"4,809"
2025-02-16,google,search_paid,last_click_qs,"1,123"
2025-02-16,google,search_paid,last_click_cp,182
2025-02-16,google,search_paid,last_click_op,128
2025-02-16,google,social_organic,last_click_sessions,12
2025-02-16,google,social_organic,last_click_qs,1
2025-02-16,google,social_organic,last_click_cp,0
2025-02-16,google,social_organic,last_click_op,0
2025-02-16,meta,meta_mof,last_click_sessions,"4,377"
2025-02-16,meta,meta_mof,last_click_qs,"1,128"
2025-02-16,meta,meta_mof,last_click_cp,33
2025-02-16,meta,meta_mof,last_click_op,26
2025-02-16,organic,search_organic,last_click_sessions,"2,404"
2025-02-16,organic,search_organic,last_click_qs,76
2025-02-16,organic,search_organic,last_click_cp,20
2025-02-16,organic,search_organic,last_click_op,19
2025-02-16,organic,social_organic,last_click_sessions,488
2025-02-16,organic,social_organic,last_click_qs,119
2025-02-16,organic,social_organic,last_click_cp,8
2025-02-16,organic,social_organic,last_click_op,7
2025-02-16,other,other,last_click_sessions,252
2025-02-16,other,other,last_click_qs,11
2025-02-16,other,other,last_click_cp,1
2025-02-16,other,other,last_click_op,1
2025-02-16,referral,referral,last_click_sessions,1
2025-02-16,referral,referral,last_click_qs,0
2025-02-16,referral,referral,last_click_cp,0
2025-02-16,referral,referral,last_click_op,0
2025-02-17,ai_tools,ai_tools,last_click_sessions,1
2025-02-17,ai_tools,ai_tools,last_click_qs,0
2025-02-17,ai_tools,ai_tools,last_click_cp,0
2025-02-17,ai_tools,ai_tools,last_click_op,0
2025-02-17,crm,crm_email,last_click_sessions,"1,297"
2025-02-17,crm,crm_email,last_click_qs,11
2025-02-17,crm,crm_email,last_click_cp,2
2025-02-17,crm,crm_email,last_click_op,2
2025-02-17,crm,crm_sms,last_click_sessions,856
2025-02-17,crm,crm_sms,last_click_qs,2
2025-02-17,crm,crm_sms,last_click_cp,1
2025-02-17,crm,crm_sms,last_click_op,1
2025-02-17,direct,direct,last_click_sessions,"1,533"
2025-02-17,direct,direct,last_click_qs,132
2025-02-17,direct,direct,last_click_cp,30
2025-02-17,direct,direct,last_click_op,26
2025-02-17,google,search_paid,last_click_sessions,"4,756"
2025-02-17,google,search_paid,last_click_qs,"1,024"
2025-02-17,google,search_paid,last_click_cp,152
2025-02-17,google,search_paid,last_click_op,107
2025-02-17,google,social_organic,last_click_sessions,7
2025-02-17,google,social_organic,last_click_qs,1
2025-02-17,google,social_organic,last_click_cp,0
2025-02-17,google,social_organic,last_click_op,0
2025-02-17,meta,meta_mof,last_click_sessions,"3,548"
2025-02-17,meta,meta_mof,last_click_qs,866
2025-02-17,meta,meta_mof,last_click_cp,38
2025-02-17,meta,meta_mof,last_click_op,26
2025-02-17,organic,search_organic,last_click_sessions,"2,608"
2025-02-17,organic,search_organic,last_click_qs,105
2025-02-17,organic,search_organic,last_click_cp,22
2025-02-17,organic,search_organic,last_click_op,20
2025-02-17,organic,social_organic,last_click_sessions,377
2025-02-17,organic,social_organic,last_click_qs,111
2025-02-17,organic,social_organic,last_click_cp,5
2025-02-17,organic,social_organic,last_click_op,5
2025-02-17,other,other,last_click_sessions,221
2025-02-17,other,other,last_click_qs,15
2025-02-17,other,other,last_click_cp,3
2025-02-17,other,other,last_click_op,3
2025-02-18,crm,crm_email,last_click_sessions,"1,294"
2025-02-18,crm,crm_email,last_click_qs,10
2025-02-18,crm,crm_email,last_click_cp,0
2025-02-18,crm,crm_email,last_click_op,0
2025-02-18,crm,crm_sms,last_click_sessions,875
2025-02-18,crm,crm_sms,last_click_qs,3
2025-02-18,crm,crm_sms,last_click_cp,2
2025-02-18,crm,crm_sms,last_click_op,1
2025-02-18,direct,direct,last_click_sessions,"1,505"
2025-02-18,direct,direct,last_click_qs,135
2025-02-18,direct,direct,last_click_cp,36
2025-02-18,direct,direct,last_click_op,31
2025-02-18,google,search_paid,last_click_sessions,"4,677"
2025-02-18,google,search_paid,last_click_qs,"1,044"
2025-02-18,google,search_paid,last_click_cp,158
2025-02-18,google,search_paid,last_click_op,120
2025-02-18,google,social_organic,last_click_sessions,9
2025-02-18,google,social_organic,last_click_qs,0
2025-02-18,google,social_organic,last_click_cp,0
2025-02-18,google,social_organic,last_click_op,0
2025-02-18,meta,meta_bof,last_click_sessions,1
2025-02-18,meta,meta_bof,last_click_qs,0
2025-02-18,meta,meta_bof,last_click_cp,0
2025-02-18,meta,meta_bof,last_click_op,0
